,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
347,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Memphis, TN ," Memphis, TN "," December 5, 2021",Could be a fun place to work due to co workers who finally became friends.,Some members of Management live a miserable life cannot go on without talking about you.No work life balance working 10 hours a days and some days MET is added at the end of the shift either 30 or 45 minutes., , ,3,Amazon.com
348,Seasonal Sortation Associate (Current  Employee),Seasonal Sortation Associate ,Current Employee, South Gate, CA ," South Gate, CA "," December 4, 2021",Immediate Hire is a plus,I learned how to stow and pick and basically the process of same day delivery at Amazon. First time working at a warehouse was exciting because I learned something different than what I'm used to.,Immediate hire if background is clean,only 20 hours scheduled for part time ... wish it was 30 hours,5,Amazon.com
349,Amazon Sortation Associate (Former  Employee),Amazon Sortation Associate ,Former Employee, Converse, TX ," Converse, TX "," December 4, 2021",Productive,"It was a good job for me, I worked 20 hours every week. Only con is that it’s not guaranteed hours you work but other than that it was really easy. You keep to yourself and just repeat the same motions. Only thing I would change is the hours and how many breaks you had.",Productive,"Short breaks, don’t rlly guarantee full hours",5,Amazon.com
350,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Fresno, CA ," Fresno, CA "," December 4, 2021",Ehh,The pays okay if you live nearby the warehouse. But Amazon and other big companies like this feel like they’re entitled to every single second of your life. So when I started I signed up for a shift for Saturday-Tuesday 7-530 and I was never informed about mandatory overtime. So when they decided they wanted me to work overtime they’d just go ahead and schedule me and not say anything. HR is absolutely horrible and the least helpful people I’ve ever met. There’s absolutely no flexibility for school or anything else for that matter., , ,1,Amazon.com
351,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Buford, GA ," Buford, GA "," December 4, 2021",Managers are cruel and the job sucks.,"The breakroom is pretty alright though. It has a nice variety of snack and drinks. This is the only positive thing that has come from working here. Managers and other associates conspire amongst each other about who to fire. Most employees are vulgar and unprofessional. The physical labor is hard, but manageable as time passes.","15 minute break, good snacks",Everything else,2,Amazon.com
352,Virtual Customer Service Representative (Former  Employee),Virtual Customer Service Representative ,Former Employee, Seattle, WA ," Seattle, WA "," December 4, 2021",Virtually Impossible to meet goals,"Great for your resume, you really do learn a lot because they have excellent training. Direct managers were wonderful. The demands on your energy are excessive. You won't want to retire there but it's a worthwhile seasonal job. If you have a disability the chances of you being able to keep your job are small because scheduling is automated and you are supervised by all the leads. It is very difficult for them to adhere to the ADA. I'm glad I did it.",Incredible learning experience for short term career goals. Everyone should try it once.,Everyone puts in 1000% and it's still not enough.,3,Amazon.com
353,FC Associate I (Current  Employee),FC Associate I ,Current Employee, Milford, MA ," Milford, MA "," December 4, 2021",Fun activities every month.,"Good pay for simple physical work. Prizes, free snacks and lunches during peak. Con: I have had 4 managers in 10 months. Short term job. Good for students.", , ,4,Amazon.com
354,Multi Drop Driver (Former  Employee),Multi Drop Driver ,Former Employee, Coalville, Leicestershire ," Coalville, Leicestershire "," December 4, 2021",Long days,To many drops and multi location drops. Wait forever to load. Only get paid from when you leave depot not the hour before checking van and loading. Amazon say jump dsps say how high, , ,1,Amazon.com
355,Fullfilment Associate (Current  Employee),Fullfilment Associate ,Current Employee, Appling, GA ," Appling, GA "," December 4, 2021",Productive and fun workplace,"Productive and fun workplace, great pay and benefits! Very good company. Forward thinking and new school mentality are awesome! I highly recommend working for them!",Pay and benefits,Lots of standing,5,Amazon.com
356,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Sunrise, FL ," Sunrise, FL "," December 4, 2021",Horrible,Amazon doesn’t care for there employees they work you until you can’t go anymore and if you feel like stoping they will threaten you with termination,Hours,Work/home life,1,Amazon.com
357,Water Spider (Former  Employee),Water Spider ,Former Employee, Edison, NJ ," Edison, NJ "," December 4, 2021",You are a robot,Worked long hours without real breaks. The company views its employees like they are not even real people. Their goal is not to maintain workers. It's a burn 'em and turn 'em mentality. Always more workers willing to take your spot., , ,1,Amazon.com
358,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Austin, TX ," Austin, TX "," December 4, 2021",Great for when you need help off the ground,Working at one of their warehouses is easy enough. Their app makes working there less hands-on than other places where management may be more involved or over-bearing. It offers very good flexibility.,flexible,HSA insurance is meh,4,Amazon.com
359,Picker (Current  Employee),Picker ,Current Employee, Moreland, GA ," Moreland, GA "," December 4, 2021",It’s a Steppingstone job,"Not the worst job ever. It’s can be very boring and mentally draining, but its ok. They have good benefits, and opportunities that are really convenient. Overall it’s just a job a simple job. Not the best thing going around the area anymore because everybody starting pay is the same now. I would return if I have too, and always leave with good standings!!","Work easy, Break, Know what’s expected of you",The Work gets boring.,4,Amazon.com
360,FC Associate I (Former  Employee),FC Associate I ,Former Employee, Teterboro, NJ ," Teterboro, NJ "," December 4, 2021","Limited hours, but otherwise what you would expect",Very easy hiring process; the pay is ok considering the qualifications are very minimal. A common problem is that hours are limited (people want to work more). Physically demanding,Pay is ok for the position,Short breaks,3,Amazon.com
361,Préparateur (Former  Employee),Préparateur ,Former Employee, cergy , cergy , cergy ," December 4, 2021",Amazon,Zéro stressant fatiguant pas de reconnaissance contraignant, , ,1,Amazon.com
362,Customer Service Associate (Current  Employee),Customer Service Associate ,Current Employee, Work from home , Work from home , Work from home ," December 4, 2021",Might be the best and highest paying job for a person with no experience.,"First of all, don't believe the negative reviews that are listed here. I have no reason to lie and I can confidently say Amazon South Africa is the best company I've worked for. And I have worked for Mercedes Benz, Rain Networks, Vodacom and even the Department of Labour. The work from home Customer Service Job is one of the best and highest paid jobs for someone with no experience and only a Matric Certificate. You will not find a higher paying job that only requires matric and minimal experience because I have looked everywhere. The company provides you with a computer, headsets and even a UPS system to power your equipment during load shedding. They pay for your fibre internet as well. Training is fully paid for and salaries are paid on time and in some cases even a day earlier. The Customer Service Associate job is basically a customer service agent job for North American customers, it is run like a contact centre and anyone who worked at a contact centre knows the work is fast paced and results driven. If yoi give good results you get recognized and rewarded and if you dont, you get assistance and coaching to help you perform better. One review here said that management is terrible but in a contact centre, management has to be firm because results are needed. If you are faint at heart then you must look for an admin job. All jobs have bad aspects but a job provides for you and your family therefore you need to adapt to the job. Career advancement is great, you will learn new skills to assist in different departments and you can apply for management positions once you","Work equipment, paid internet, overtime",None,5,Amazon.com
363,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Washington, IN ," Washington, IN "," December 4, 2021",Just be ready for whatever,"This is from my experience at an XPT site. XPTs are where Amazon gives packages to flex drivers who then deliver to the customer's home. It's a new concept for Amazon and they obviously have many things to figure out. Trying to be polite so try to read between the lines there. There's a certain number of frustrations but it's made up for by being an ridiculously easy job and having a flexible schedule. Speaking of schedule, you're not guaranteed hours so heads up there. If you have any issues the managers won't be much help. They want all the scheduling and human resources functions done through the A to Z app. I've tried to contact someone through that app once and was basically unable to communicate with them because of our accents. They do have ways to win raffles and prizes and stuff especially if you have a good manager so that makes up a little for it.
I'd say this job is only good for those who need a flexible schedule or just some extra cash OR someone who really wants to work for Amazon and an XPT site is the only option available. If you wanna move up you'll probably have to move though. I gave it three stars but just to be picky I'd give it 2.5 but again this is just for me so good luck.","Schedule, easy","Management, no guaranteed hours",3,Amazon.com
364,Associate (Former  Employee),Associate ,Former Employee, Bethlehem, PA ," Bethlehem, PA "," December 4, 2021",Prepare to die working,Shifts are usually 10-12 hours long and about 2 hours in breaks. It is non-stop working so be prepared for you feet to kill you after your shift. Pay is pretty good and time off is also good.,Free food,Alot,3,Amazon.com
365,TRMS Investigator (Former  Employee),TRMS Investigator ,Former Employee, Hyderabad, Telangana ," Hyderabad, Telangana "," December 4, 2021",Good place to work,"Good place to work. Would recommend joining the company but don't ever join the Transaction Risk Management Department(TRMS), worst for employees and no growth.", , ,3,Amazon.com
366,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Campbellsville, KY ," Campbellsville, KY "," December 4, 2021",Mgmt pretends they value you but they don't,Company gives illusion of following Japanese work tenets but in reality has no desire to make any changes that would actually improve conditions. Management is mostly comprised of recent college graduates who have never worked a real day in their life.,Fairly easy not overly demanding work,Always nagging you about silly stuff,2,Amazon.com
367,Mozo de almacén (Former  Employee),Mozo de almacén ,Former Employee, Barberà del Vallès, Barcelona provincia ," Barberà del Vallès, Barcelona provincia "," December 4, 2021",Mucho estrés y poca organización,"No me gustó nada el trabajo, entré como contrato discontinuo y te tratan de lo peor que hay en la empresa, siempre te ponen en el peor sitio, solo a cargar camiones y coger peso, se aprovechan de que estás allí un par de meses y te hacen trabajar en lo peor. Hablas con un manager y no te hace ni caso, por quejarte te echan de la empresa. No puedes ni reclamar ni opinar. Solo te tratan bien si eres bien visto por un manager o un leader.
Te dan la formación cuando a ellos les apetece. Trato nefasto. No lo recomiendo.",Café gratis.,todas,1,Amazon.com
368,Packer (Former  Employee),Packer ,Former Employee, Forney, TX ," Forney, TX "," December 4, 2021","Fun place to work hard, but can be physically exhausting","Working as a packer requires about 9 hours on your feet. When they say lifting up to 50 lbs, well that means that you can have a pallet of 20-30 items that weight that much. The packing table isn’t adjustable so sometimes you have to lift those items almost shoulder height to get it in depending on how tall you are and which box you’re using. Other than that, I had great managers who were concerned with us as individuals as well as our output, co-workers were great and the benefits, which you qualify for on the first day of work, are awesome! Insurance is fairly cheap and there are three types of personal time. Be prepared to feel like you’re going to have to use it a lot, though, especially the first few weeks. The only bad thing is, the unpaid personal time determines if they’re going to let you go. You only have so many hours, but it does accumulate every quarter. However, they will let you go if you run it to 0. Paid personal time is not as bad though and you accumulate a few hours or so per week. There is also paid vacation time that accumulates at a slower rate.","Great managers, pay and benefits",Physically exhausting to the point of pain at times,4,Amazon.com
369,Assistant Manager level 4 (Former  Employee),Assistant Manager level 4 ,Former Employee, Atlanta, GA ," Atlanta, GA "," December 4, 2021",Work life balance,Amazon does not care about work life balance. You may start working a morning shift; they will switch your shift at anytime. No choices. It's either written this shift out quit. Site leaders do not care about the employees. They only want numbers., , ,3,Amazon.com
370,Process Assistant (Former  Employee),Process Assistant ,Former Employee, East Point, GA ," East Point, GA "," December 4, 2021",The Amazon Effect,Amazon is a true trendsetter. True start-up mentality everyday! Amazon really invest in getting you what you need to succeed along with continued training support., , ,5,Amazon.com
371,Picker/Packer (Former  Employee),Picker/Packer ,Former Employee, Stone Mountain, GA ," Stone Mountain, GA "," December 4, 2021",Good place to work,Good place to work I would send people to work there good benefits pto upt not good tho good place to work I would love to work for them again you can’t be late or miss to many days if you don’t have the time to cover it, , ,5,Amazon.com
372,Amazon Warehouse Associate (Current  Employee),Amazon Warehouse Associate ,Current Employee, Jefferson, GA ," Jefferson, GA "," December 4, 2021",Only good thing here is picking your schedule,"Poor management, short breaks. Walking time is considered break time. Only get around 5 mins to sit and try to eat a small bag of chips. Choatic in a not so good way and very disorganized. Staying extra hour even though our work limit was reached, not enough equipement, etc.", , ,2,Amazon.com
373,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, Bethlehem, PA ," Bethlehem, PA "," December 4, 2021",Pretty Good so far,"only first week but not bad, definitely better than alot of other jobs ive had in the past. you can tell that many people don't stay too long but I think that just because they don't expect it to be physical labor.", , ,4,Amazon.com
374,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Romulus, MI ," Romulus, MI "," December 4, 2021",It is a job.,"If you do what is expected (make rate), you’ll have no problems. However, whenever any interruptions occur, you’ll often be expected to work around that exception fast enough to make your rate regardless.",Your goals are very clear,Management,3,Amazon.com
375,Associate (Former  Employee),Associate ,Former Employee, Euclid, OH ," Euclid, OH "," December 3, 2021","good opportunities for overtime, tedious","This job is good if you just need a quick job, i wouldnt stay long term. People are friendly and managers are too. I feel that the work can be tedious at times", , ,4,Amazon.com
376,Yard Supervisor (Former  Employee),Yard Supervisor ,Former Employee, Newport , Newport , Newport ," December 3, 2021",Not great,"I was a yard marshal at amazon and actually amazing staff fir nearly 4 1/2 yrs, I was inly contracted 16hrs a week but for 4 yrs u dine a minimum of 35hrs a week same days same hrs each week but they would not contract then, I applied and had I terrier for various rolls in amazon but its the type of company that they know who they want for the job and your face has to fit, after 4 yrs of doing extra hrs they then told me I would be contracted 20hrs a week but no overtime but then had all agency staff doing the hrs I used to do so the job was still there, I lost 15hrs a week which was a round £600 a month so I had to leave",Decent hourly wage,Unfair,1,Amazon.com
377,Order Picker (Former  Employee),Order Picker ,Former Employee, Lakeland, FL ," Lakeland, FL "," December 3, 2021","Productive work environment, with fair procedures, and easy advancement.","the chance to move up or learn something new , everyone input is valuedPay is good, vacation and personal time that you can take at ur time, very progressive work force.","Free ppe, college reimbursement, paid holidays","Hot, very active role",5,Amazon.com
378,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Charlotte, NC ," Charlotte, NC "," December 3, 2021",Its what you make it,"Working at amazon was okay, it wasn't necessarily terrible but they kind of overwork you for what they are paying you but im assuming that its based off what department you're working in. I would recommend Amazon if you are in between something but not for long term to be honest.","paid break, pay is decent, benefits","Can be overwhelming, tiring",3,Amazon.com
379,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Bakersfield, CA ," Bakersfield, CA "," December 3, 2021",Good for the experience & bebefits,"Horrible place to work at mentally. Physically good because you always have to be doing something or else management comes with a write up for you. But in reality don’t come work here, go elsewhere.",Benefits,"Management, favoritism, mentally draining.",3,Amazon.com
380,Amazon Warehouse Associate (Current  Employee),Amazon Warehouse Associate ,Current Employee, Hanahan, SC ," Hanahan, SC "," December 3, 2021",Fun,Great work life balance great benefits positive work environment especially if you don’t have kids and you are a single person focused on yourself and not the needs of others., , ,4,Amazon.com
381,Problem Solver (Former  Employee),Problem Solver ,Former Employee, Eastvale, CA ," Eastvale, CA "," December 3, 2021",Its a good warehouse job,A good starting up job for a young person. Pays good. Obviously not a career. Good temperature in the building. Unfortunately we couldn’t listen to music..,Good pay,Boring,4,Amazon.com
382,Driver/Delivery (Former  Employee),Driver/Delivery ,Former Employee, Grimes, IA ," Grimes, IA "," December 3, 2021",Amazon sucks cheeks to work at,I hate this place. The managers are trash and dont give a single chicken leg about you. And who thought is it was cool to only have 20 min to load a van with 200 to 300 packages!!!!!!!! Every single frickin day with little to no help??? REDICOULOUS!! IM SO MAD IDEK IF I EVEN SPELLED REDICULOUS RIGHT!,nothing,low pay,2,Amazon.com
383,Problem Solver (Former  Employee),Problem Solver ,Former Employee, Rialto, CA ," Rialto, CA "," December 3, 2021","Quick hiring, great A to B job.","Great job to give you time to find your next, more permantent job.
Apply to an IXD (cross-doc) warehouse. The work is mainly inbound, receiving, and outbound to the fulfilment centers. The fulfillment warehouses are the hactic, p@@-in-a-bottle, fast-paced, h#ll! But some people, such as my neighbor, actually enjoy h#ll! Who knew!
This is an A to B job.
Unless you like being middle management and stressed 24/7 for little pay: Avoid being a manager.
With love","Decent pay; no interview, immediate hiring;","simply a number, not a name; repitative",3,Amazon.com
384,Warehouse operative (Former  Employee),Warehouse operative ,Former Employee, Hoo , Hoo , Hoo ," December 3, 2021",Amazon Warehouse,"I have been working in LCY8 for about 2 years. The best warehouse that I have ever worked in. Massive emphasis on health and safety, if you care. (I don't, so that was the only bit that was annoying.)", , ,5,Amazon.com
385,Part Time Warehouse Associate (Current  Employee),Part Time Warehouse Associate ,Current Employee, Edison, NJ ," Edison, NJ "," December 3, 2021",No regrets,"I'm so appreciative of this job. I'm not a morning person but I do what I have to do. The shift goes by fast in my opinion. Once your body gets use to it, you'll be fine. First month or so I'd go home, shower, eat and will be in bed by 8pm. I was exhausted. Now, I can go out to dinner after work. Everything is super fast pace and you will need comfortable shoes if you plan on making it through. You'll meet friends from all walks of life; young, old, people from other countries and states, military ect.", , ,4,Amazon.com
386,Operations Supervisor (Former  Employee),Operations Supervisor ,Former Employee, Dls2 , Dls2 , Dls2 ," December 3, 2021",Good but not for everyone,It’s a warehouse work so don’t expect much . Good money considering the kind of work you are doing . SLT only cares about the targets and no nothing else,Good pay,Long hours understaffed,4,Amazon.com
387,Customer Service Associate (Former  Employee),Customer Service Associate ,Former Employee, Lucknow, Uttar Pradesh ," Lucknow, Uttar Pradesh "," December 3, 2021",Amazing work environment,"I just love being working with Amazon. A great place and company to work with, with so supportive gesture and complete guidance, Have a great experience working with Amazon.. for a short period of time (6month)", , ,5,Amazon.com
388,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Baltimore, MD ," Baltimore, MD "," December 3, 2021",nothing,its and okay job to be honest but their is no job security at all to be honest you can get fired for any little thing basically their are other jobs that are better, , ,2,Amazon.com
389,Amazon employee (Former  Employee),Amazon employee ,Former Employee, Edison, NJ ," Edison, NJ "," December 3, 2021",It's ok,They will work you and the temperature changes can be allot especially if your anemic. But the pay is good and they also pay you weekly which I liked so...,Weekly pay,Long hours,4,Amazon.com
390,Amazon Warehouse Associate (Former  Employee),Amazon Warehouse Associate ,Former Employee, Jefferson, GA ," Jefferson, GA "," December 3, 2021",Decent pay but extremely boring,"Hate that you can’t listen to music, when they decided to play music for the warehouse it was pop and 60’s and 70s music. Nothing new no variety. I do appreciate the nice learning ambassadors. Too much time to think with little time to even eat lunch. I’ve found myself gulping down my food every time. Breaks are not long enough for the amount of standing taken place. HR sucks!!!! Everything bus done through a app!!!! No human communication no case by case basis for emergency situations. Feel like the managers are so by the book it’s scary.",Different Gifts to show appreciation,"Short breaks, constant reminder of your errors",4,Amazon.com
391,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, All over the world , All over the world , All over the world ," December 3, 2021",Productive work place,"Depending on your job.... Wether you pick, pack, pull, or other jobs you have to have a certain amount done in an hour which is hard on the mind and body. You feel if you don't meet your goal you will be let go so it makes you push yourself the the point of hurting yourself. They shouldn't put such a big responsibility on people like that. The company operates 24/7 365 days a year there's room to slow down a bit and nat make your rate or goal to get so high.",Pay is decent,Rate or goal needed in an hour is to high.,3,Amazon.com
392,Virtual Customer Service Representative (Former  Employee),Virtual Customer Service Representative ,Former Employee, Virtual , Virtual , Virtual ," December 3, 2021",Poor work environment,"Management is unsupportive, the pay is horrible, and you are overworked. Your schedule changes every couple of months so there isn’t much of a good work/life balance.", , ,1,Amazon.com
393,Pit Operator (Former  Employee),Pit Operator ,Former Employee, Olive Branch, MS ," Olive Branch, MS "," December 3, 2021",Boring and strict,"The management is terrible and the pace at which they want you to work at for 10 hours is unsustainable not to mention every little
Mistake is a write up",Decent pay,Everything else,3,Amazon.com
394,Tier 1 Reverse Logistics Warehouse Associate (Former  Employee),Tier 1 Reverse Logistics Warehouse Associate ,Former Employee, CVG2 Hebron , CVG2 Hebron , CVG2 Hebron ," December 3, 2021",It is what you make it,"It has a potential to be a career, but sometimes the culture of the coworkers can drag you down. People get caught up in drama, and get fired over pettiness. They do have the potential to move associates up, but sometimes its more about who you know than how hard you work. HR is a joke, and even the managers will say they dont feel that they can go to HR because nothing will get done.",Great pay,work atmosphere,3,Amazon.com
395,Area Manager (Current  Employee),Area Manager ,Current Employee, North Carolina , North Carolina , North Carolina ," December 3, 2021",Just be careful,"When things are going well things are good.

When they’re not, beware. Often times you are asked to complete objectives without the proper support. For example, on a shift where there should be multiple managers, poor planning by senior leadership leads to shifts like this where there is one. Your then held accountable for the shift doing three managers jobs for the price of one.

It’s really the luck of the draw on if you get a good direct manager. I’ve had great ones and I’ve had terrible ones. Some will put you in a position to be successful and others use you as their scapegoat. Don’t listen to there media department when they say they are doing this and that to build the company culture, they’re not. The message the public sees is just that, but their boots on the ground teams don’t practice that. Fair pay, but definitely over worked.

As mentioned earlier, when things are going well it’s a cool place to work. It’s just their rate of attrition that keeps the times going in a negative direction more often. You’ll find yourself working like a dog and feel a sense of accomplishment after finishing just to find out they want you to do better. This leads me back to the support of senior leadership teams. Your not given the resources to be successful. Bad managers run rampant and they will pull the rug out from under you in a heartbeat.

Some relationships are cherished with the people you work with. You can make good friends, solid networking opportunities and possibilities to advance. But, it’s also a what have you done lately kind of place. Sacrifices are quickly forgotten","Coworkers, 3PL partners","Support teams, money, managers, workload",2,Amazon.com
396,Sales Assistant (Former  Employee),Sales Assistant ,Former Employee, London , London , London ," December 3, 2021",Bad place to work,"This company doesn't care about employees. You are just a number. They will promise you a lot, but at the end they will forget about you. I don't recommend working there.",Good salary,Everything else,2,Amazon.com
397,Fullfillment Associate (Current  Employee),Fullfillment Associate ,Current Employee, Haslet, TX ," Haslet, TX "," December 3, 2021",Draining and not worth it,You choose morning or night shift which are 10 hours sometimes 11 there is opportunities for part and reduced time but no matter what you work 10 hour shifts. You only get a certain amount of paid time off and unpaid time off if you get a negative balance you're fired. Theres either an overwhelming amount of work or you stand around for hours. The traffic is awful and there's no way around it. The people tend to be nice and helpful. The pay is good but the pain you put yourself through isnt worth it.,"The pay, learning new skills","Micro managment, schedule type, traffic, pain",1,Amazon.com
398,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Sterling, VA ," Sterling, VA "," December 3, 2021",It was good to me,I enjoyed my time there i felt like i had a lot of opportunity to go iut and be myself there it eas a lot off godd co workers there so i like it alot, , ,3,Amazon.com
399,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Saint Peters, MO ," Saint Peters, MO "," December 3, 2021","A fast-paced, tedious grind with hardworking people.","I work as a warehouse associate in a fulfillment center. The coworkers are the best part. Sure, there are some lazy people, they hire anyone, and the bar is pretty low. But the ones who stick around are very hard working, and we focus on getting the job done and making the most of a nutty, chaotic work environment.

Favoritism plays a HUGE role in promotion. I have never wanted to follow the FC management track, so that hasn't bothered me.

The work is physically very demanding, the hours are long, the physical environment is huge and, while climate controlled and pretty well-lit, it's loud and dirty and under-illuminated. If you are sensitive to your environment, or environmental stimuli, avoid this place.

I started as a seasonal employee at the begining of the pandemic and converted to full time a few months later. it takes 30 days to get benefits. I pay a little extra for the best health insurance plan (because I use it) and it's totally worth it. I Best I've ever had. 401K matching is a little stingy, but it's somethig.

They offer good accommodations for people with disabilities. HR is a pain but it does work. It's a pretty inclusive and diverse facility, and that's evident in management. They also help military vets and spouses onboard into careers.

If you are a hard worker, and don't have a college degree, you can still work your way up. There's opportunity. That being said, you won't earn as much as someone with a college degree.

The pay is terrible, given how hard the work is. We are seriously undervalued.","coworkers, opportuity for people w/o college degree, 3 days off/week","long hours, lousy pay, unpleasant work environment.",2,Amazon.com
400,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Mississauga, ON ," Mississauga, ON "," December 3, 2021",Overall Good Experience,"Learned some useful skills at this warehouse, fast paced, time management, RF scanner, multiple duties, they provide training. Drawback is that at times supervisors knew less than workers at times extremely disorganized and the employees get the blame. The experience here useful on resume and future employment",Training and experience,Disorganized management,3,Amazon.com
401,Order Picker (Former  Employee),Order Picker ,Former Employee, Monee, IL ," Monee, IL "," December 2, 2021",Slavery,"Work, work and more work, Amazon is a hard place to work long standing hours. A far distance to walk to take a lunch, A good paying job, the stress and working conditions will make you feel the pay is not enough. The standing in one place with repetition of my body I started having pain in the middle of my shoulder.",Pay,Non,1,Amazon.com
402,stower (Former  Employee),stower ,Former Employee, Staten Island, NY ," Staten Island, NY "," December 2, 2021",Was deep,"It was a very far place from where I was living at that time in my life and was very hard to get to the job on foot almost everytime I was at the warehouse , it was not a safe trip going back home.",It was a fun place to get what i needed.,Short breaks. No lunches that were suitable to eat either.,4,Amazon.com
403,Amazon Fulfillment Associate (Current  Employee),Amazon Fulfillment Associate ,Current Employee, Sacramento, CA ," Sacramento, CA "," December 2, 2021",Over worked,Mandatory work doesn't give me time to my family 11hr 5 days a week is to much. Not enough time to enjoy my break. No one to go to in person in Management to ask questions., , ,1,Amazon.com
404,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Goodyear, AZ ," Goodyear, AZ "," December 2, 2021",Meh,Typical Amazon Job. Low Pay and is about to decrease after the first of the year. Nothing special except I live close. Kinda unorganized but it’s a new location.,Close to home,Lack of pay,3,Amazon.com
405,Packing (Former  Employee),Packing ,Former Employee, Las Vegas, NV ," Las Vegas, NV "," December 2, 2021",A very stressful place,"It is a very tiring and mentally draining job. The warehouse is a fast-paced area and the managers will always be watching closely, making sure you do your work and they talk and hang out.",None,"short breaks, super strict",2,Amazon.com
406,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Orlando, FL ," Orlando, FL "," December 2, 2021",productive but overworking place,there's a lot of room to grow on amazon if you know how to move.Manager pass the stress to their workers but you get nice with everybody and low pay for what you do,more break,short break but good benefits,5,Amazon.com
407,Stower (Former  Employee),Stower ,Former Employee, Murfreesboro, TN ," Murfreesboro, TN "," December 2, 2021","Loved my coworkers, upper management not the best",The work was easy enough. Rate was easy to make. Their attendance policy is quite strict so budget your time well. Make a few friends and the shift goes by quickly,Easy work,Some people found it hard to make rate,3,Amazon.com
408,Amazon Prime Now Associate (Current  Employee),Amazon Prime Now Associate ,Current Employee, San Diego, CA ," San Diego, CA "," December 2, 2021",Ambiente de trabajo divertido,"Buen trabajo en general, los managers no se meten contigo", , ,4,Amazon.com
409,Assosiate (Former  Employee),Assosiate ,Former Employee, Ruskin, FL ," Ruskin, FL "," December 2, 2021",good pay and get alot of hours,"It was a little but off to much work. The mandatory overtime was too much. 5 11hr work days. The money was really good but my back hurt a lot after this job,",good pay,short breaks,3,Amazon.com
410,Sortation Associate (Current  Employee),Sortation Associate ,Current Employee, Thornton, CO ," Thornton, CO "," December 2, 2021",Unprofessional and political Management,"The management here is awful. they never want to advance you unless you kiss up to them. Most of the time that’s not even good enough. Managers act like they like you and will talk about you behind your back, but won’t tell you how you can improve to actually be able to advance to a higher position. Mangers will sit at their desk while they watch everything in the warehouse hits rock bottom. They freak out when it does hit rock bottom but don’t jump in to help.",Pay,Unprofessional Managers and Associates,1,Amazon.com
411,Warehouse Worker (Former  Employee),Warehouse Worker ,Former Employee, Troutdale, OR ," Troutdale, OR "," December 2, 2021",Hard work,"Hard work, repetitive work, long days, mandatory overtime, time is tracked to the minute, work quotas, not much room for advancement, no teamwork, work alone", , ,2,Amazon.com
412,Warehouse Associate (Current  Employee),Warehouse Associate ,Current Employee, Tucson, AZ ," Tucson, AZ "," December 2, 2021",Easy work/great benefits,"I’ve had lots of jobs and this one is by far the easiest. 4/10 or 3/12 schedule, which is nice. Benefits are amazing and the biggest reason I want to continue working there. Management turn over is pretty high, so don’t get attached to anyone. Always opportunities to advance.", , ,5,Amazon.com
413,Package Handler (Former  Employee),Package Handler ,Former Employee, Richmond, VA ," Richmond, VA "," December 2, 2021",Good benefits and pay,No growth opportunities. Bad management. No good communication. No organization. Poor training. Fair pay for the job. Long walks if you work in pick area., , ,2,Amazon.com
414,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Riverside, CA ," Riverside, CA "," December 2, 2021",It was all right,"It was all right Backbreaking work I tell you Long hours on your feet Decent money show me a couple got Covid while I was working there so I
Good money if you don’t have a life and wanna work all the", , ,5,Amazon.com
415,Amazon Fulfillment Associate (Former  Employee),Amazon Fulfillment Associate ,Former Employee, Olive Branch, MS ," Olive Branch, MS "," December 2, 2021","Good Pay , Laid back , strict at times","Amazon was The best place I worked at
met lots of good people and truly missed them all
Unfortunately I was falsely accused of fraudulent documents due to being exposed to Covid and was immediately terminated after being with the company 8 months. The communication at MEM 6 is horrible and DLS Team is very hard to reach at moments but overall Amazon has a lot of great opportunities to grow
If I could go back and do it again I would
Being terminated really messed my life up I’ve been struggling every sense really hard to find good jobs like Amazon with benefits I recommend anybody to Amazon just be careful on leaves and sick pay","Good Pay, Physical Workout, Paid Holiday",Horrible communication,4,Amazon.com
